"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_fax","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","metastatic tumor site:ch1","primary tumor site:ch1"
"GSM461721","Renal03_(Renal_to_Retroperitoneal)","GSM461721","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Renal (primary site) to Retroperitoneal (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Renal","metastatic tumor site: Retroperitoneal","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461721/suppl/GSM461721.CEL.gz","54613","Retroperitoneal","Renal"
"GSM461722","Ovary06_(Ovarian vs Peritoneal_to_Omentum)","GSM461722","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Ovarian vs Peritoneal (primary site) to Omentum (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Ovarian vs Peritoneal","metastatic tumor site: Omentum","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461722/suppl/GSM461722.CEL.gz","54613","Omentum","Ovarian vs Peritoneal"
"GSM461723","Renal04_(Renal_to_Lung)","GSM461723","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Renal (primary site) to Lung (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Renal","metastatic tumor site: Lung","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461723/suppl/GSM461723.CEL.gz","54613","Lung","Renal"
"GSM461724","Colon04_(Colon_to_Lung)","GSM461724","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Colon (primary site) to Lung (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Colon","metastatic tumor site: Lung","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461724/suppl/GSM461724.CEL.gz","54613","Lung","Colon"
"GSM461725","Lung01_(Lung_to_Kidney)","GSM461725","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Lung (primary site) to Kidney (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Lung","metastatic tumor site: Kidney","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461725/suppl/GSM461725.CEL.gz","54613","Kidney","Lung"
"GSM461726","GEJunction01_(GE Junction_to_Liver)","GSM461726","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","GE Junction (primary site) to Liver (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: GE junction","metastatic tumor site: Liver","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461726/suppl/GSM461726.CEL.gz","54613","Liver","GE junction"
"GSM461727","Pancreas01_(Pancreas_to_Liver)","GSM461727","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Pancreas (primary site) to Liver (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Pancreas","metastatic tumor site: Liver","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461727/suppl/GSM461727.CEL.gz","54613","Liver","Pancreas"
"GSM461728","Ovary07_(Ovary_to_Omentum)","GSM461728","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Ovary (primary site) to Omentum (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Ovary","metastatic tumor site: Omentum","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461728/suppl/GSM461728.CEL.gz","54613","Omentum","Ovary"
"GSM461729","Colon05_(Colon_to_Lung)","GSM461729","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Colon (primary site) to Lung (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Colon","metastatic tumor site: Lung","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461729/suppl/GSM461729.CEL.gz","54613","Lung","Colon"
"GSM461730","Rectal01_(Rectal_to_Lung)","GSM461730","Public on Feb 13 2016","Oct 14 2009","Feb 13 2016","RNA","1","Rectal (primary site) to Lung (metastatic site) laser capture microdissected tumor sample","Homo sapiens","primary tumor site: Rectal","metastatic tumor site: Lung","total RNA","Total RNA from laser capture microdissected adenocarcinoma patient tumor samples was extracted using the Ambion Mirvana totalRNA extraction kit.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","The resulting biotin-labeled RNA samples were then hybridized with Affymetrix U133 Plus 2.0 GeneChip arrays according to the manufacturer's instructions (Affymetrix, Santa Clara, CA).","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from laser capture microdissected metastatic tumor sample","The data were analyzed using the open-source R platform with statistical microarray analysis tools compiled by Bioconductor and normalized with Bioconductor's standard RMA analysis methods.","GPL570","David,,Hsu","hsu00018@dm.duke.edu","919-684-1739","919-668-4777","Institute for Genome Sciences and Policy","Duke University","Rm 2167 CIEMAS Bldg, 101 Science Dr.","Durham","NC","27710","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM461nnn/GSM461730/suppl/GSM461730.CEL.gz","54613","Lung","Rectal"
