,sampleid,sample.type,tumor.type,patientid,subtype,cancertype,tsne_0,tsne_1,tsne_2,umap_0,umap_1,umap_2
TCGA-OR-A5KT-01,TCGA.OR.A5KT.01A.11R.A29S.07,01,ACC,,,,14.368916018354374,44.16609167863893,-20.55581375070646,-14.19007000657655,-3.7980499303278146,0.20799464302163675
TCGA-OR-A5JE-01,TCGA.OR.A5JE.01A.11R.A29S.07,01,ACC,,,,13.938225991596855,41.98842650315738,-19.731063840362292,-14.022926497975623,-3.7812696228907257,0.34713784094701405
TCGA-PK-A5HA-01,TCGA.PK.A5HA.01A.11R.A29S.07,01,ACC,,,,12.350062081657073,47.02025848113381,-18.916695621561356,-14.524925587663972,-3.7494986588392245,-0.014917162009303899
TCGA-OR-A5LE-01,TCGA.OR.A5LE.01A.11R.A29S.07,01,ACC,,,,14.890587442249776,41.70980164013987,-19.666081298068715,-14.043481455802748,-3.7250938387060124,0.34134022626241817
TCGA-OR-A5K8-01,TCGA.OR.A5K8.01A.11R.A29S.07,01,ACC,,,,13.556436375409646,44.1182752419564,-18.818173899498685,-14.237267915330369,-3.836755014753311,0.1753841972281693
TCGA-OR-A5JC-01,TCGA.OR.A5JC.01A.11R.A29S.07,01,ACC,,,,13.003423798629656,44.764743338701855,-18.202128291747353,-14.24002322472645,-3.8280579590078405,0.17954498816409561
TCGA-OR-A5J3-01,TCGA.OR.A5J3.01A.11R.A29S.07,01,ACC,,,,14.640257857563547,44.34799353406663,-17.485497727269742,-14.223998040402394,-3.830392781871773,0.1823351567313507
TCGA-OR-A5KV-01,TCGA.OR.A5KV.01A.11R.A29S.07,01,ACC,,,,13.484811432765264,41.78486912067965,-17.959263243891403,-14.102587079636201,-3.8072468641854926,0.2836560650357279
TCGA-OR-A5LS-01,TCGA.OR.A5LS.01A.11R.A29S.07,01,ACC,,,,13.51632069720506,42.89321325023388,-18.334884439679158,-14.112348044528263,-3.8540926220480998,0.27608377926278627
TCGA-OR-A5LG-01,TCGA.OR.A5LG.01A.11R.A29S.07,01,ACC,,,,15.294077342440579,44.576151060931494,-20.01762921108468,-14.210330624138761,-3.762995159456274,0.19480531897657233
TCGA-OR-A5J6-01,TCGA.OR.A5J6.01A.31R.A29S.07,01,ACC,,,,14.151376423498851,45.57669523520763,-20.457460267193213,-14.38959341650268,-3.7339012999415493,0.06570340677405075
TCGA-OR-A5LB-01,TCGA.OR.A5LB.01A.11R.A29S.07,01,ACC,,,,13.506933400803577,43.48124007818668,-18.677887292657875,-14.164797306151582,-3.8444782554514667,0.23088418785507056
TCGA-OR-A5JJ-01,TCGA.OR.A5JJ.01A.11R.A29S.07,01,ACC,,,,14.282370628531812,42.72395289644291,-17.92172910479232,-14.060507066485528,-3.7999121643804648,0.3210171785623487
TCGA-OR-A5KO-01,TCGA.OR.A5KO.01A.11R.A29S.07,01,ACC,,,,13.99748881075483,44.0922783320824,-19.06105849831793,-14.193035261396005,-3.788119856772709,0.21295399754415198
TCGA-OR-A5JI-01,TCGA.OR.A5JI.01A.11R.A29S.07,01,ACC,,,,13.612431411713949,47.01162543933466,-17.90413894545213,-14.507413601475731,-3.791304364871498,-0.02439855791025174
TCGA-PK-A5H8-01,TCGA.PK.A5H8.01A.11R.A29S.07,01,ACC,,,,13.41952903981304,45.56361090594397,-19.356970723142712,-14.380875441819414,-3.7787200235404836,0.07814299747142393
TCGA-OR-A5KZ-01,TCGA.OR.A5KZ.01A.11R.A29S.07,01,ACC,,,,14.66572379500457,42.53114956109826,-20.449058492620384,-14.087733638983083,-3.762701766317258,0.3031549243655718
TCGA-PK-A5H9-01,TCGA.PK.A5H9.01A.11R.A29S.07,01,ACC,,,,15.673612796807959,47.387879873333816,-20.918217626596753,-14.420900003208814,-3.757389067236294,0.050172588460165736
TCGA-OR-A5L3-01,TCGA.OR.A5L3.01A.11R.A29S.07,01,ACC,,,,15.238051021738555,43.47474814142444,-19.539386420863824,-14.156506217481315,-3.7439080856704745,0.236948503753348
TCGA-OR-A5KY-01,TCGA.OR.A5KY.01A.11R.A29S.07,01,ACC,,,,13.851136281622823,42.82668672095309,-18.589356028821623,-14.096957648180386,-3.809982991480066,0.2896799494543102
TCGA-OR-A5J9-01,TCGA.OR.A5J9.01A.11R.A29S.07,01,ACC,,,,13.696507257492595,42.473527356661855,-18.347706797964754,-14.123809321698435,-3.836572985094752,0.2627764400337057
TCGA-OR-A5JV-01,TCGA.OR.A5JV.01A.11R.A29S.07,01,ACC,,,,12.628907585052243,46.11138001739383,-18.626298292794164,-14.489711012627867,-3.7937779155584574,0.00023093382624248823
TCGA-OR-A5L5-01,TCGA.OR.A5L5.01A.11R.A29S.07,01,ACC,,,,14.453777950069183,46.6946960795845,-18.874870846390092,-14.432497902922757,-3.757109345913164,0.04074538645934482
TCGA-OR-A5JS-01,TCGA.OR.A5JS.01A.11R.A29S.07,01,ACC,,,,14.885615821673538,43.13013260991377,-19.43783941076266,-14.143200897828018,-3.7229588621966543,0.2451667962774364
TCGA-P6-A5OF-01,TCGA.P6.A5OF.01A.11R.A29S.07,01,ACC,,,,14.094120826489766,43.24966975617569,-18.251700688286217,-14.155681533170522,-3.814191881142322,0.2394739575263406
TCGA-OR-A5JG-01,TCGA.OR.A5JG.01A.11R.A29S.07,01,ACC,,,,13.394060177702366,43.62845506712166,-19.361719510429776,-14.188356098673536,-3.846882133959716,0.20809665668028446
TCGA-OR-A5LH-01,TCGA.OR.A5LH.01A.11R.A29S.07,01,ACC,,,,14.587221839581133,45.502231134594616,-17.563094980028513,-14.283064186989018,-3.813248144371537,0.14750049844641233
TCGA-OR-A5KU-01,TCGA.OR.A5KU.01A.11R.A29S.07,01,ACC,,,,14.298599201599648,43.37981962626647,-17.399559476219014,-14.118585308809449,-3.8168101444051796,0.2732766332655979
TCGA-K4-A5RH-01,TCGA.K4.A5RH.01A.11R.A30C.07,01,BLCA,,,,-0.5592115827681767,5.187911485488588,-13.894521262820028,0.4275679795612116,2.227300274405073,1.6900870900467468
TCGA-DK-AA6U-01,TCGA.DK.AA6U.01A.11R.A39I.07,01,BLCA,,,,-44.34420291034712,-13.735113479373474,-10.395687650542257,-1.398599380434376,0.6734193777986813,-4.338255813771211
TCGA-FD-A62P-01,TCGA.FD.A62P.01A.32R.A30C.07,01,BLCA,,,,-39.405602958258015,-15.777408080671934,-9.470747775712459,-1.7191522089040903,0.8919460710747441,-4.478379393114846
TCGA-G2-A2EF-01,TCGA.G2.A2EF.01A.12R.A18C.07,01,BLCA,,,,-26.475044033849436,-12.62174431053964,-14.58665437029963,-3.3888668901703305,0.6874978427230828,-4.387475380506723
TCGA-DK-A1AG-01,TCGA.DK.A1AG.01A.11R.A13Y.07,01,BLCA,,,,-41.198010637930935,-11.239212075716464,-9.907522008941491,-1.6326857575213751,0.450940514700478,-4.159547029312947
TCGA-FJ-A3Z9-01,TCGA.FJ.A3Z9.01A.11R.A26T.07,01,BLCA,,,,-42.490400903295864,-10.731253739324902,-11.188979186163879,-1.4836980562926172,0.3467706450827738,-4.050545737224935
TCGA-DK-A1A3-01,TCGA.DK.A1A3.01A.11R.A13Y.07,01,BLCA,,,,-43.627991241469005,-16.40382140703738,-7.648422734791805,-1.4824053253083582,0.9786191952209,-4.393079680084936
TCGA-C4-A0F6-01,TCGA.C4.A0F6.01A.11R.A10U.07,01,BLCA,,,,-40.81563685589094,-13.729029620736114,-9.901118548344094,-1.5733416201589814,0.7735462766071134,-4.288718865216325
TCGA-GV-A3JV-01,TCGA.GV.A3JV.01A.11R.A220.07,01,BLCA,,,,-43.12745122139759,-13.447331223822205,-9.71122183592751,-1.4837914081471884,0.6987222707290606,-4.281364917574826
TCGA-S5-A6DX-01,TCGA.S5.A6DX.01A.11R.A31N.07,01,BLCA,,,,-41.19837362363607,-16.938752883458015,-9.504781075104523,-1.579089977056493,0.8580144577263512,-4.472737626029072
TCGA-DK-A2I6-01,TCGA.DK.A2I6.01A.12R.A18C.07,01,BLCA,,,,-30.298000013026122,-12.447883927948181,-14.564239028772862,-3.202850828599085,0.6585802020015117,-4.5291660295575795
TCGA-E7-A5KE-01,TCGA.E7.A5KE.01A.11R.A28M.07,01,BLCA,,,,-41.64150931824305,-11.766381753368568,-11.23087539594427,-1.5432619189505785,0.4920534493255203,-4.173631926499488
TCGA-UY-A78O-01,TCGA.UY.A78O.01A.12R.A33J.07,01,BLCA,,,,-43.69120332628899,-11.540513434197747,-8.744617851972567,-1.5130437039213747,0.5745272468506221,-4.20292237127843
TCGA-GU-A42P-01,TCGA.GU.A42P.01A.11R.A23W.07,01,BLCA,,,,-45.17880237362009,-13.744359533010863,-11.236114520347614,-1.3774562057224802,0.6233964109524959,-4.299510259812842
TCGA-XF-A9T3-01,TCGA.XF.A9T3.01A.11R.A42T.07,01,BLCA,,,,-31.285978533818408,-14.29947491887157,-11.352760438972194,-3.016722967846722,0.7647282838713759,-4.566854533336846
TCGA-DK-A6B6-01,TCGA.DK.A6B6.01A.11R.A30C.07,01,BLCA,,,,-43.42171914094176,-12.360869243585967,-11.114203655091442,-1.3701964220837388,0.6129599169429308,-4.292334696148759
TCGA-G2-A3VY-01,TCGA.G2.A3VY.01A.11R.A22U.07,01,BLCA,,,,-44.37961217673987,-13.188662448965053,-10.878800717202141,-1.3731156670790459,0.6013597301020134,-4.292867452059029
TCGA-K4-A54R-01,TCGA.K4.A54R.01A.11R.A26T.07,01,BLCA,,,,-40.27477757780591,-15.762731737471167,-9.971739233106321,-1.5803698302379878,0.9940658749480665,-4.452034634696521
TCGA-XF-A9T8-01,TCGA.XF.A9T8.01A.11R.A39I.07,01,BLCA,,,,-31.174823076056626,-11.175617921651295,-7.405418060704375,-3.929581045402846,-0.01951655269477715,-4.730690183189866
TCGA-CF-A47W-01,TCGA.CF.A47W.01A.11R.A23W.07,01,BLCA,,,,-42.06187744109616,-9.942224027748658,-10.434269309419198,-1.5085247805471578,0.3304866758205138,-4.03945190392472
TCGA-FD-A3SR-01,TCGA.FD.A3SR.01A.11R.A22U.07,01,BLCA,,,,-43.663004451018615,-16.479952426540184,-7.622620067433696,-1.543590050101265,0.9608356347834102,-4.397347212618064
TCGA-YF-AA3M-01,TCGA.YF.AA3M.01A.11R.A42T.07,01,BLCA,,,,-36.449593159658164,-13.061842645526196,-9.238620807765587,-2.9616691688644847,0.53108769298885,-4.702592705929324
TCGA-GD-A2C5-01,TCGA.GD.A2C5.01A.12R.A180.07,01,BLCA,,,,-42.48506301211604,-14.880166190639445,-8.736976193015499,-1.4790888713763537,0.919090108214233,-4.345164557165622
TCGA-GC-A3WC-11,TCGA.GC.A3WC.11A.11R.A22U.07,11,BLCA,,,,-41.71554277388289,-15.537494130480198,-5.639449433506753,-1.4281334548933504,1.2126935668997436,-4.337034284687815
TCGA-FD-A3N5-01,TCGA.FD.A3N5.01A.11R.A21D.07,01,BLCA,,,,-27.42191232636364,-17.066447801692664,-15.349100933523884,-4.158840144521117,1.1826804322204059,-4.427823995142671
TCGA-E5-A4U1-01,TCGA.E5.A4U1.01A.11R.A31N.07,01,BLCA,,,,-44.78491557039629,-12.881818577063394,-10.04856028732811,-1.3944471834941627,0.6158343750464628,-4.30052703465253
TCGA-BT-A20N-01,TCGA.BT.A20N.01A.11R.A14Y.07,01,BLCA,,,,-39.69759842718012,-14.978636085938685,-11.812642326590353,-1.7719530550999252,0.843605538700908,-4.438316161068687
TCGA-CU-A0YR-01,TCGA.CU.A0YR.01A.12R.A10U.07,01,BLCA,,,,-42.23644084241102,-14.454976778914855,-11.0431706653611,-1.4104571847207579,0.7039758620096744,-4.363416265418232
TCGA-4Z-AA86-01,TCGA.4Z.AA86.01A.11R.A39I.07,01,BLCA,,,,-28.337274308943556,-13.127141435873893,-14.20613074700848,-3.397692630988445,0.6547923810688815,-4.522022701973832
TCGA-CF-A9FM-01,TCGA.CF.A9FM.01A.11R.A38B.07,01,BLCA,,,,-42.59101134277093,-10.090462892260984,-9.802963965823556,-1.4902774750285974,0.30623134388267936,-4.012501891724765
TCGA-R3-A69X-01,TCGA.R3.A69X.01A.22R.A30C.07,01,BLCA,,,,-41.50319469878762,-15.766602134755763,-6.912503243817453,-1.4586547782306198,1.111233765077241,-4.367685992523091
TCGA-C4-A0F1-01,TCGA.C4.A0F1.01A.11R.A034.07,01,BLCA,,,,-23.124133110059457,-25.142555801782578,-13.691006314848021,-4.155510876113507,1.2798781079671662,-4.7504870918735325
TCGA-FD-A5BY-01,TCGA.FD.A5BY.01A.31R.A28M.07,01,BLCA,,,,-33.82585523933742,-12.733462781049331,-8.500102650753261,-3.8481779496555526,-0.09695568411523274,-4.864982320251016
TCGA-FD-A62N-01,TCGA.FD.A62N.01A.11R.A30C.07,01,BLCA,,,,-28.135065426237986,-12.667042368129193,-14.68106038563164,-3.2816105711837777,0.6715346514321536,-4.538843823197471
TCGA-XF-A9SZ-01,TCGA.XF.A9SZ.01A.11R.A39I.07,01,BLCA,,,,-40.26567482407702,-15.853918620613022,-9.687857287840435,-1.5746499053101497,0.9387919230240143,-4.434042852486144
TCGA-BL-A13I-01,TCGA.BL.A13I.01A.11R.A13Y.07,01,BLCA,,,,-0.9759793065378641,9.532163690804191,-14.404843541193838,0.5683691304155373,1.883344586339389,2.0670493380839297
TCGA-BT-A20J-01,TCGA.BT.A20J.01A.11R.A14Y.07,01,BLCA,,,,-25.416182928510054,-15.03654693788767,7.616706692770087,-3.417761711558445,0.34489429359989837,-5.895421073760534
TCGA-FD-A6TI-01,TCGA.FD.A6TI.01A.11R.A32O.07,01,BLCA,,,,-41.420613648259014,-13.597949407518154,-6.942778244361421,-1.500241553369842,1.053976558515513,-4.338234412873424
TCGA-FD-A3B6-01,TCGA.FD.A3B6.01A.21R.A20F.07,01,BLCA,,,,-29.27610321917345,-13.141871932270973,-14.754794920973096,-3.3370093260350946,0.6388472989535732,-4.536489486085616
TCGA-K4-A6FZ-01,TCGA.K4.A6FZ.01A.11R.A31N.07,01,BLCA,,,,-39.22695329204796,-11.916729948181779,-8.64660082634592,-1.9506206258117664,0.6254399176324201,-4.354341100121211
TCGA-E7-A97P-01,TCGA.E7.A97P.01A.11R.A38B.07,01,BLCA,,,,-33.77047404162097,-12.89183844699535,-8.691633022372411,-3.209799492572692,0.49150729568172946,-4.802739909077484
TCGA-KQ-A41N-01,TCGA.KQ.A41N.01A.11R.A33J.07,01,BLCA,,,,-43.76640832630326,-12.825555103785245,-8.795798588211026,-1.4538515019689036,0.7267478335724036,-4.345767450145078
TCGA-E7-A519-01,TCGA.E7.A519.01A.11R.A26T.07,01,BLCA,,,,-42.44988201827205,-9.781490791095031,-9.745283086133067,-1.522293354902272,0.3403128896921197,-4.046573609770373
TCGA-GV-A3QF-01,TCGA.GV.A3QF.01A.31R.A22U.07,01,BLCA,,,,-43.64209326065963,-10.791644231484858,-11.417045576943751,-1.4665071376396523,0.37802002391561557,-4.084997347358667
TCGA-GC-A3I6-01,TCGA.GC.A3I6.01A.11R.A20F.07,01,BLCA,,,,-33.89792669077474,-12.869500096055733,-8.61859382203769,-3.1964882415661817,0.47530399292515124,-4.738923507257012
TCGA-K4-A5RI-01,TCGA.K4.A5RI.01A.11R.A28M.07,01,BLCA,,,,-35.15955577367434,-13.301519781942659,-8.447846260447452,-3.212151774919944,0.4461493925997472,-4.912513167273705
TCGA-ZF-AA4V-01,TCGA.ZF.AA4V.01A.11R.A38B.07,01,BLCA,,,,-30.60449468602663,-13.631659309834816,-14.36732888900669,-3.2717853036041973,0.5868408785186127,-4.543951039265965
TCGA-MV-A51V-01,TCGA.MV.A51V.01A.11R.A26T.07,01,BLCA,,,,-45.37918104809605,-13.534023366018305,-11.327647823183131,-1.3961825926333,0.6112524317844819,-4.2834689243002
TCGA-G2-AA3C-01,TCGA.G2.AA3C.01A.21R.A39I.07,01,BLCA,,,,-0.5949655773373473,9.300563831739765,-14.657279839953972,0.5537720702836324,1.9211331414256052,2.0266653585928998
TCGA-GU-A763-01,TCGA.GU.A763.01A.11R.A32O.07,01,BLCA,,,,-41.75703126918737,-9.888501542690474,-10.63158612016944,-1.506988093844437,0.3062705095115845,-4.018320999868875
TCGA-FD-A5BT-01,TCGA.FD.A5BT.01A.11R.A26T.07,01,BLCA,,,,-27.979394860022385,-12.79838825108993,-15.921545288692073,-3.2278787866416425,0.6923018143044172,-4.515749806150579
TCGA-G2-A2EJ-01,TCGA.G2.A2EJ.01A.11R.A180.07,01,BLCA,,,,-22.674299184468214,-23.37190379217954,-15.946158118196843,-4.35785409069144,1.197561534450391,-4.428325305241823
TCGA-BT-A42C-01,TCGA.BT.A42C.01A.11R.A23N.07,01,BLCA,,,,-42.251175550445126,-12.328547391725465,-9.22080385932246,-1.5368720731840686,0.573042291075734,-4.248382204378001
TCGA-DK-A3IL-01,TCGA.DK.A3IL.01A.11R.A20F.07,01,BLCA,,,,-42.22364358216125,-15.635366535527648,-9.065975872181852,-1.4198854228452276,0.8951516369165868,-4.339953595337523
TCGA-CU-A0YN-01,TCGA.CU.A0YN.01A.21R.A10U.07,01,BLCA,,,,-27.602303496997077,-16.773291894633594,-15.172916922104058,-3.8877768129381334,1.0186823781738283,-4.496758460362319
TCGA-YF-AA3L-01,TCGA.YF.AA3L.01A.11R.A38B.07,01,BLCA,,,,-43.619817671188024,-10.971516983961315,-8.99956585445218,-1.5311916612238932,0.42920995013754204,-4.122744717653572
TCGA-XF-AAMR-01,TCGA.XF.AAMR.01A.31R.A42T.07,01,BLCA,,,,-40.99015353470723,-15.499320049737449,-6.301321524508133,-1.4565308949790925,1.223136604880693,-4.374151262113494
